reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_10828,RMG,[N-]([NH3+])C(=C=C)C,C[CH]COC,8,2,1,False,7,2,0
rmg_rxn_10829,RMG,C[CH]COC,C=C=C(C)CCC,11,0,1,False,8,2,0
rmg_rxn_10830,RMG,C[CH]COC,CC(=C=C)NCC,10,1,1,False,8,2,0
rmg_rxn_10831,RMG,C=COCOC,C[CH]COC,8,0,3,False,8,1,0
rmg_rxn_10832,RMG,[CH2]CN,CCCOC,6,1,1,False,6,0,0
rmg_rxn_10833,RMG,[O]N=[CH],CCCOC,5,1,2,False,5,1,0
rmg_rxn_10834,RMG,C=N,C[CH]COC,5,1,1,False,4,1,0
rmg_rxn_10835,RMG,[O-][NH+]=N,C[CH]COC,4,2,2,False,5,1,0
rmg_rxn_10836,RMG,N[N]O,C[CH]COC,4,2,2,False,6,0,0
rmg_rxn_10837,RMG,CCN,C[CH]COC,6,1,1,False,6,0,0
rmg_rxn_10838,RMG,CCCO,C[CH]COC,7,0,2,False,7,0,0
rmg_rxn_10839,RMG,[O-][NH+]=CC,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10840,RMG,ONC=C,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10841,RMG,[O-][NH2+]C=C,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10842,RMG,[O-][NH+]1CN1,C[CH]COC,5,2,2,False,8,0,0
rmg_rxn_10843,RMG,CCC,C[CH]COC,7,0,1,False,6,0,0
rmg_rxn_10844,RMG,CCS,C[CH]COC,6,0,1,False,6,0,0
rmg_rxn_10845,RMG,ON=N,C[CH]COC,4,2,2,False,5,1,0
rmg_rxn_10846,RMG,CCCOC,C[C]=C(C)C=CC,11,0,1,False,8,2,0
rmg_rxn_10847,RMG,[CH2]CC=O,CCCOC,7,0,2,False,6,1,0
rmg_rxn_10848,RMG,[SH],C[CH]COC,4,0,1,False,4,0,0
