RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_613,False,False,False,False,False
rmg_rxn_614,False,False,False,False,False
rmg_rxn_615,False,False,False,False,False
rmg_rxn_616,False,False,False,False,False
rmg_rxn_617,False,False,False,False,False
rmg_rxn_618,False,False,False,False,False
rmg_rxn_619,False,False,False,False,False
rmg_rxn_620,False,False,False,False,False
rmg_rxn_621,False,False,False,False,False
rmg_rxn_622,False,False,False,False,False
rmg_rxn_623,False,False,False,False,False
rmg_rxn_624,False,False,False,False,False
rmg_rxn_625,False,False,False,False,False
rmg_rxn_626,False,False,False,False,False
rmg_rxn_627,False,False,False,False,False
rmg_rxn_628,False,False,False,False,False
rmg_rxn_629,False,False,False,False,False
rmg_rxn_630,False,False,False,False,False
rmg_rxn_631,False,False,False,False,False
rmg_rxn_632,False,False,False,False,False
rmg_rxn_633,False,False,False,False,False
rmg_rxn_634,False,False,False,False,False
rmg_rxn_635,False,False,False,False,False
rmg_rxn_636,False,False,False,False,False
rmg_rxn_637,False,False,False,False,False
rmg_rxn_638,False,False,False,False,False
rmg_rxn_639,False,False,False,False,False
rmg_rxn_640,False,False,False,False,False
rmg_rxn_641,False,False,False,False,False
rmg_rxn_642,False,False,False,False,False
rmg_rxn_643,False,False,False,False,False
rmg_rxn_644,False,False,False,False,False
rmg_rxn_645,False,False,False,False,False
rmg_rxn_646,False,False,False,False,False
rmg_rxn_647,False,False,False,False,False
rmg_rxn_648,False,False,False,False,False
rmg_rxn_649,False,False,False,False,False
rmg_rxn_650,False,False,False,False,False
rmg_rxn_651,False,False,False,False,False
rmg_rxn_652,False,False,False,False,False
rmg_rxn_653,False,False,False,False,False
rmg_rxn_654,False,False,False,False,False
rmg_rxn_655,False,False,False,False,False
rmg_rxn_656,False,False,False,False,False
rmg_rxn_657,False,False,False,False,False
rmg_rxn_658,False,False,False,False,False
rmg_rxn_659,False,False,False,False,False
rmg_rxn_660,False,False,False,False,False
rmg_rxn_661,False,False,False,False,False
rmg_rxn_662,False,False,False,False,False
rmg_rxn_663,False,False,False,False,False
rmg_rxn_664,False,False,False,False,False
rmg_rxn_665,False,False,False,False,False
rmg_rxn_666,False,False,False,False,False
rmg_rxn_667,False,False,False,False,False
rmg_rxn_668,False,False,False,False,False
rmg_rxn_669,False,False,False,False,False
rmg_rxn_670,False,False,False,False,False
rmg_rxn_671,False,False,False,False,False
rmg_rxn_672,False,False,False,False,False
rmg_rxn_673,False,False,False,False,False
rmg_rxn_674,False,False,False,False,False
rmg_rxn_675,False,False,False,False,False
rmg_rxn_676,False,False,False,False,False
rmg_rxn_677,False,False,False,False,False
rmg_rxn_678,False,False,False,False,False
rmg_rxn_679,False,False,False,False,False
rmg_rxn_680,False,False,False,False,False
rmg_rxn_681,False,False,False,False,False
rmg_rxn_682,False,False,False,False,False
rmg_rxn_683,False,False,False,False,False
rmg_rxn_684,False,False,False,False,False
rmg_rxn_685,False,False,False,False,False
rmg_rxn_686,False,False,False,False,False
rmg_rxn_687,False,False,False,False,False
rmg_rxn_688,False,False,False,False,False
rmg_rxn_689,False,False,False,False,False
